id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE1246F,1620 1766 5976,DL-5653-835800,"[3, 1]",True,
2,Driver_2,1,ABCDE7036F,2625 5282 7919,DL-5584-788420,[4],True,
3,Driver_3,1,ABCDE3725F,6756 9799 4861,DL-5811-378961,[3],True,
4,Driver_4,1,ABCDE1111F,3773 6578 6183,DL-3573-820082,"[2, 3, 5]",True,
5,Driver_5,1,ABCDE8871F,2514 6243 6245,DL-6433-642325,"[5, 2, 1]",False,
6,Driver_6,1,ABCDE3474F,7384 9558 1002,DL-8623-167316,"[5, 4, 2]",True,
7,Driver_7,1,ABCDE7642F,5977 3204 7160,DL-5057-826495,"[1, 2]",True,
8,Driver_8,1,ABCDE1902F,1867 1123 7075,DL-6058-750361,"[2, 4]",True,
9,Driver_9,1,ABCDE1178F,4083 4422 1115,DL-1255-116652,[3],True,
10,Driver_10,1,ABCDE5453F,9777 1658 5681,DL-9730-381335,"[3, 1]",False,
11,Driver_11,1,ABCDE6169F,2997 6409 6978,DL-2865-356172,[3],True,
12,Driver_12,1,ABCDE3932F,3480 6677 5080,DL-6057-919876,[5],True,
13,Driver_13,1,ABCDE6969F,8202 9732 7779,DL-1645-405451,[1],True,
14,Driver_14,1,ABCDE1433F,2557 1332 8261,DL-8200-981203,"[3, 1, 4]",True,
15,Driver_15,1,ABCDE3574F,8618 5129 5655,DL-7130-453143,[4],False,
16,Driver_16,1,ABCDE6080F,6343 5400 5448,DL-5347-175327,"[5, 2]",True,
17,Driver_17,1,ABCDE9063F,6093 2003 5206,DL-5061-810817,"[2, 3]",False,
18,Driver_18,1,ABCDE7628F,9879 9992 6538,DL-8403-387761,"[1, 2, 4]",True,
19,Driver_19,1,ABCDE9310F,1618 8617 4986,DL-4765-324184,"[1, 2]",True,
20,Driver_20,1,ABCDE3045F,1764 2355 7244,DL-1249-641380,"[2, 3]",False,
21,Driver_21,1,ABCDE2925F,1383 7767 1855,DL-1026-632747,"[1, 2]",True,
22,Driver_22,1,ABCDE2713F,5166 8895 5609,DL-3465-113589,"[4, 2]",True,
23,Driver_23,1,ABCDE8366F,3307 7708 7731,DL-4703-934277,"[1, 5]",False,
24,Driver_24,1,ABCDE9278F,6080 6007 8389,DL-6172-362107,[3],True,
25,Driver_25,1,ABCDE1206F,3849 2583 5157,DL-4723-341710,"[4, 1, 5]",True,
26,Driver_26,1,ABCDE1722F,7784 2260 8250,DL-2466-812853,"[3, 2, 4]",False,
