Request_id,Customer_id,operators_id,Delivery_latitude,Delivery_longitude,Delivery_city_id,Delivery_address,items_in_this_request,Request_placing_time
1,1,10,30.20815926112358,74.12030166870173,1,Address_1,"[(8, 8), (6, 8), (5, 18), (9, 8), (4, 7), (9, 6), (4, 20), (2, 8)]",2024-10-18 09:00:00
2,2,9,30.07133381459636,74.21389950596298,1,Address_2,"[(7, 13), (10, 2), (7, 18), (2, 7), (2, 20), (3, 16), (8, 9), (8, 13), (2, 13)]",2024-10-18 09:00:00
3,3,9,30.145869728742717,74.21087285280225,1,Address_3,"[(2, 15), (5, 13), (9, 6)]",2024-10-18 09:00:00
4,4,3,30.215294928362134,74.2414956830021,1,Address_4,"[(4, 20), (7, 15), (3, 14)]",2024-10-18 09:00:00
5,5,3,30.170507163226556,74.24259730086936,1,Address_5,"[(6, 3), (7, 12), (2, 11), (5, 16), (5, 5), (7, 15), (4, 2)]",2024-10-18 09:00:00
6,6,9,30.212697670892343,74.26529182755816,1,Address_6,"[(10, 16)]",2024-10-18 09:00:00
7,7,10,30.16772706764336,74.18640278961402,1,Address_7,"[(2, 14), (10, 15), (6, 17), (6, 4), (6, 13)]",2024-10-18 09:00:00
8,8,9,30.143724303528252,74.19749067430544,1,Address_8,"[(7, 7), (10, 1), (6, 9), (10, 8), (6, 5), (10, 3), (9, 10), (3, 18), (4, 18)]",2024-10-18 09:00:00
9,9,3,30.133539008956877,74.18579333256905,1,Address_9,"[(10, 18), (2, 11), (5, 17), (10, 13), (5, 4), (3, 19), (8, 5)]",2024-10-18 09:00:00
10,10,4,30.151806380040814,74.16071553755742,1,Address_10,"[(10, 1), (4, 9), (9, 20), (10, 16), (8, 11), (8, 19), (10, 1), (1, 5)]",2024-10-18 09:00:00
11,11,10,30.173622152993943,74.17005214935408,1,Address_11,"[(4, 17), (9, 16), (2, 6), (1, 17), (6, 3), (3, 5), (8, 17), (10, 19), (9, 2), (4, 11)]",2024-10-18 09:00:00
